timestamp;symbol;price;C_t;K_t;P;F;R;Omega;SI;SD;RDebt;RE;CI;MB;VS_raw;VS;phase
2026.08.01 17:55:00;ETHUSDm;1859.29;0.569613;1.205937;0.427210;0.060297;0.020208;0.042208;0.021360;0.000000;0.000199;0.335140;0.247472;0.344201;0.065449;0.516356;SEED
2026.08.01 17:56:00;ETHUSDm;1860.17;0.422332;1.155766;0.393033;0.114666;0.036582;0.081930;0.022001;0.000000;0.000614;0.319027;0.267669;0.270332;0.056733;0.514180;SEED
2026.08.01 17:57:00;ETHUSDm;1860.36;0.409908;0.249671;0.361590;0.120685;0.050609;0.088571;0.022473;0.000000;0.000809;0.419350;0.353519;0.245760;0.060960;0.515235;SEED
2026.08.01 17:58:00;ETHUSDm;1860.37;0.445413;0.013217;0.332663;0.114299;0.062583;0.086720;0.022796;0.000000;0.000700;0.547540;0.456495;0.234655;0.068569;0.517136;SEED
2026.08.01 17:59:00;ETHUSDm;1860.18;0.448591;0.255582;0.306050;0.120112;0.072658;0.093428;0.022987;0.000000;0.000448;0.604922;0.507749;0.212175;0.070048;0.517505;SEED
2026.08.01 18:00:00;ETHUSDm;1859.19;0.996661;1.339286;1.053546;0.179617;0.115000;0.137838;0.059212;0.000000;0.000000;0.640249;0.481514;0.870503;0.152096;0.537951;SEED
2026.08.01 18:01:00;ETHUSDm;1858.07;0.426791;1.481874;0.969262;0.242430;0.149936;0.186951;0.060466;0.000000;0.000000;0.618471;0.495008;0.755836;0.137784;0.534392;SEED
2026.08.01 18:02:00;ETHUSDm;1858.85;0.430662;1.021210;0.891721;0.278370;0.179623;0.218267;0.061320;0.000000;0.000000;0.645265;0.528784;0.670334;0.129589;0.532352;SEED
2026.08.01 18:03:00;ETHUSDm;1858.44;0.428027;0.534969;0.820383;0.287608;0.204672;0.231498;0.061821;0.000000;0.000000;0.711634;0.585733;0.613806;0.127361;0.531797;SEED
2026.08.01 18:04:00;ETHUSDm;1859.97;0.496779;1.932306;0.754753;0.365749;0.225234;0.293190;0.062011;0.000000;0.000000;0.615817;0.526544;0.490216;0.106079;0.526495;SEED
2026.08.01 18:05:00;ETHUSDm;1859.59;0.485523;0.498950;0.694372;0.367905;0.242077;0.302562;0.061930;0.000000;0.000000;0.657990;0.563188;0.444686;0.103485;0.525848;SEED
2026.08.01 18:06:00;ETHUSDm;1860.16;0.568098;0.740644;1.120446;0.381700;0.276267;0.320062;0.080137;0.000000;0.000000;0.723781;0.598193;0.854740;0.158466;0.539534;SEED
2026.08.01 18:07:00;ETHUSDm;1860.24;0.766847;0.104221;1.695581;0.362301;0.330646;0.315312;0.104887;0.000000;0.000000;0.912628;0.707737;1.454153;0.244535;0.560831;SEED
2026.08.01 18:08:00;ETHUSDm;1860.50;0.550556;0.341476;2.108498;0.354647;0.396338;0.319899;0.120288;0.000000;0.000000;1.117557;0.834510;1.909613;0.313954;0.577850;SEED
2026.08.01 18:09:00;ETHUSDm;1860.85;0.600070;0.460042;2.558551;0.351990;0.473395;0.329014;0.136776;0.000000;0.000000;1.344911;0.968551;2.406403;0.338775;0.583893;SEED
2026.08.01 18:10:00;ETHUSDm;1860.66;0.419184;0.248756;2.353867;0.337360;0.539329;0.330992;0.140172;0.000000;0.000000;1.598675;1.129410;2.275492;0.354431;0.587692;SEED
2026.08.01 18:11:00;ETHUSDm;1860.61;0.426414;0.065582;2.165557;0.312985;0.595490;0.326609;0.142579;0.000000;0.000000;1.902619;1.307152;2.162906;0.372436;0.592048;SEED
2026.08.01 18:12:00;ETHUSDm;1860.74;0.456477;0.173333;1.992313;0.294092;0.642716;0.326235;0.144112;0.000000;0.000000;2.185423;1.466704;2.052712;0.388898;0.596017;SEED
2026.08.01 18:13:00;ETHUSDm;1860.40;0.757505;0.458098;2.560441;0.289438;0.706944;0.335894;0.165313;0.000000;0.000000;2.442468;1.554573;2.647321;0.401003;0.598929;SEED
2026.08.01 18:14:00;ETHUSDm;1859.20;0.522493;1.578532;2.952311;0.339754;0.779532;0.385172;0.176641;0.029523;0.000000;2.294403;1.427930;2.979762;0.360705;0.589211;SEED
2026.08.01 18:15:00;ETHUSDm;1858.23;0.520509;1.332418;3.342693;0.373797;0.859710;0.424508;0.187328;0.058530;0.000000;2.299941;1.387402;3.336890;0.329838;0.581720;SEED
2026.08.01 18:16:00;ETHUSDm;1858.68;0.477180;0.612412;3.075277;0.368533;0.927653;0.437641;0.191332;0.085060;0.000000;2.517149;1.438388;3.081613;0.312374;0.577465;SEED
2026.08.01 18:17:00;ETHUSDm;1856.94;0.409255;2.274510;2.829255;0.445279;0.984236;0.508628;0.194067;0.109311;0.000000;2.210382;1.314670;2.761457;0.282045;0.570047;SEED
2026.08.01 18:18:00;ETHUSDm;1856.35;0.402054;0.770235;2.602915;0.441842;1.000000;0.524577;0.195680;0.131467;0.000000;2.263253;1.300408;2.506778;0.282918;0.570261;SEED
2026.08.01 18:19:00;ETHUSDm;1857.20;0.420568;1.100181;2.394682;0.454759;1.000000;0.551572;0.196308;0.151696;0.000000;2.198967;1.245697;2.243914;0.278254;0.569118;SEED
2026.08.01 18:20:00;ETHUSDm;1850.64;0.380529;7.412429;2.203107;0.782642;1.000000;0.798572;0.196071;0.162434;0.000000;1.277723;0.876311;1.703455;0.195079;0.548616;SEED
2026.08.01 18:21:00;ETHUSDm;1854.75;0.431495;4.286608;2.026859;0.937841;1.000000;0.927516;0.195080;0.172197;0.000000;1.066279;0.766214;1.354463;0.139607;0.534845;SEED
2026.08.01 18:22:00;ETHUSDm;1854.48;0.415279;0.284151;1.864710;0.885156;1.000000;0.911826;0.193434;0.181066;0.000000;1.129744;0.793868;1.230554;0.127405;0.531808;SEED
2026.08.01 18:23:00;ETHUSDm;1853.40;0.408270;1.122895;1.715533;0.877043;1.000000;0.925984;0.191221;0.189112;0.000000;1.140195;0.795307;1.077824;0.108699;0.527148;SEED
2026.08.01 18:24:00;ETHUSDm;1850.12;0.384871;3.366865;1.578290;0.981534;1.000000;1.000000;0.188522;0.196402;0.000000;1.018813;0.731819;0.826908;0.070519;0.517622;SEED
2026.08.01 18:25:00;ETHUSDm;1852.09;0.398586;2.026749;1.452027;1.000000;1.000000;1.000000;0.185409;0.202997;0.000000;1.000000;0.720251;0.675216;0.050415;0.512601;SEED
2026.08.01 18:26:00;ETHUSDm;1853.24;0.403592;1.234435;1.335865;0.991722;0.997564;1.000000;0.181947;0.204136;0.000000;1.005891;0.724024;0.569542;0.037571;0.509392;SEED
2026.08.01 18:27:00;ETHUSDm;1851.72;0.397428;1.581357;1.228996;1.000000;0.990942;1.000000;0.178193;0.207781;0.000000;0.990942;0.714979;0.447990;0.021476;0.505369;SEED
2026.08.01 18:28:00;ETHUSDm;1850.83;0.395131;0.932914;1.130676;0.976827;0.980769;1.000000;0.174199;0.216520;0.000000;1.004035;0.717174;0.353179;0.010127;0.502532;SEED
2026.08.01 18:29:00;ETHUSDm;1851.85;0.399235;1.047658;1.040222;0.960753;0.967476;1.000000;0.170012;0.230621;0.000000;1.006997;0.710655;0.245679;-0.003547;0.499113;SEED
2026.08.01 18:30:00;ETHUSDm;1843.13;0.384956;7.703180;0.957004;1.000000;0.951243;1.000000;0.165672;0.243437;0.000000;0.951243;0.675067;0.090030;-0.026456;0.493386;SEED
2026.08.01 18:31:00;ETHUSDm;1834.62;0.384581;6.666144;0.880444;1.000000;0.932639;1.000000;0.161216;0.255071;0.000000;0.932639;0.658510;-0.019491;-0.041532;0.489619;SEED
2026.08.01 18:32:00;ETHUSDm;1837.15;0.389492;1.926298;0.810008;1.000000;0.912020;1.000000;0.156677;0.265618;0.000000;0.912020;0.641231;-0.122563;-0.055898;0.486029;SEED
2026.08.01 18:33:00;ETHUSDm;1837.37;0.392123;0.167632;0.745208;0.940141;0.889979;0.976351;0.152084;0.282443;0.000000;0.946644;0.647414;-0.174006;-0.060981;0.484760;SEED
2026.08.01 18:34:00;ETHUSDm;1837.80;0.395148;0.327046;0.685591;0.891687;0.866752;0.958948;0.147460;0.303698;0.000000;0.972036;0.645460;-0.241659;-0.068773;0.482813;SEED
2026.08.01 18:35:00;ETHUSDm;1839.71;0.400766;1.415654;0.630744;0.900550;0.842332;0.980094;0.142830;0.329299;0.000000;0.935353;0.613641;-0.371731;-0.087724;0.478083;SEED
2026.08.01 18:36:00;ETHUSDm;1841.11;0.403495;1.043219;0.580284;0.890837;0.817048;0.987302;0.138211;0.352602;0.000000;0.917169;0.591356;-0.475131;-0.102309;0.474445;SEED
2026.08.01 18:37:00;ETHUSDm;1839.39;0.404346;1.259889;0.533862;0.892949;0.791058;1.000000;0.133622;0.373793;0.000000;0.885894;0.564895;-0.582858;-0.118036;0.470525;SEED
2026.08.01 18:38:00;ETHUSDm;1839.20;0.406184;0.139398;0.491153;0.839450;0.764820;0.974556;0.129076;0.393042;0.000000;0.911096;0.561720;-0.627713;-0.123045;0.469277;SEED
2026.08.01 18:39:00;ETHUSDm;1837.81;0.402228;1.007685;0.451860;0.832565;0.738275;0.980233;0.124587;0.410505;0.000000;0.886747;0.539810;-0.712613;-0.135484;0.466181;SEED
2026.08.01 18:40:00;ETHUSDm;1838.76;0.424401;0.703599;0.415712;0.811351;0.711645;0.974911;0.120165;0.426326;0.000000;0.877110;0.524100;-0.776977;-0.144604;0.463912;SEED
2026.08.01 18:41:00;ETHUSDm;1838.27;0.405523;0.362158;0.382455;0.774659;0.685136;0.957671;0.115820;0.440638;0.000000;0.884436;0.514708;-0.819984;-0.150230;0.462513;SEED
2026.08.01 18:42:00;ETHUSDm;1832.44;0.395299;4.023464;0.351858;0.923396;0.657962;1.000000;0.111558;0.453564;0.000610;0.712546;0.442025;-1.044430;-0.187088;0.453364;SEED
2026.08.01 18:43:00;ETHUSDm;1832.84;0.398982;0.278242;0.323710;0.877979;0.631206;0.978643;0.107388;0.465214;0.001418;0.718930;0.435140;-1.069686;-0.190414;0.452540;SEED
2026.08.01 18:44:00;ETHUSDm;1830.74;0.401976;1.422764;0.297813;0.892595;0.604653;0.997946;0.103313;0.475693;0.003008;0.677410;0.410881;-1.151149;-0.203087;0.449402;SEED
2026.08.01 18:45:00;ETHUSDm;1827.03;0.398021;2.421671;0.273988;0.956955;0.578141;1.000000;0.099339;0.485095;0.005866;0.604146;0.375078;-1.279559;-0.223184;0.444434;SEED
2026.08.01 18:46:00;ETHUSDm;1824.19;0.396280;1.807536;0.252069;0.987922;0.551916;1.000000;0.095468;0.493507;0.009642;0.558664;0.350001;-1.371529;-0.237374;0.440934;SEED
2026.08.01 18:47:00;ETHUSDm;1823.83;0.401088;0.228629;0.231903;0.938919;0.526438;0.976343;0.091703;0.501011;0.013512;0.560686;0.343711;-1.379516;-0.238704;0.440606;SEED
2026.08.01 18:48:00;ETHUSDm;1824.96;0.405276;0.707577;0.213351;0.916823;0.501609;0.970146;0.088045;0.507679;0.017725;0.547117;0.331632;-1.411036;-0.243739;0.439365;SEED
2026.08.01 18:49:00;ETHUSDm;1820.94;0.400488;2.402008;0.196283;0.981050;0.477034;1.000000;0.084496;0.513580;0.023131;0.486249;0.302087;-1.527016;-0.261648;0.434959;SEED
2026.08.01 18:50:00;ETHUSDm;1823.50;0.422411;1.501466;0.180580;0.997530;0.452998;1.000000;0.081057;0.518776;0.029234;0.454120;0.283591;-1.592851;-0.271888;0.432444;SEED
2026.08.01 18:51:00;ETHUSDm;1824.64;0.461071;0.668465;0.166134;0.972017;0.429741;0.991233;0.077726;0.523325;0.035592;0.442113;0.273186;-1.613837;-0.275519;0.431553;SEED
2026.08.01 18:52:00;ETHUSDm;1825.70;0.443765;0.619521;0.152843;0.945797;0.407281;0.980944;0.074504;0.527280;0.042177;0.430622;0.263172;-1.631420;-0.278694;0.430774;SEED
2026.08.01 18:53:00;ETHUSDm;1827.44;0.452259;1.001381;0.140616;0.940431;0.385522;0.984267;0.071391;0.530690;0.049178;0.409942;0.249931;-1.667632;-0.284643;0.429316;SEED
2026.08.01 18:54:00;ETHUSDm;1827.06;0.445393;0.221626;0.129366;0.896780;0.364663;0.960073;0.068384;0.533599;0.056189;0.406636;0.243310;-1.662903;-0.284622;0.429321;AGING
2026.08.01 18:55:00;ETHUSDm;1829.79;0.452337;1.549728;0.119017;0.922134;0.344357;0.983104;0.065482;0.536048;0.063883;0.373435;0.226006;-1.725703;-0.294487;0.426906;AGING
2026.08.01 18:56:00;ETHUSDm;1831.73;0.456463;1.084405;0.109496;0.923361;0.324732;0.988942;0.062684;0.538076;0.072003;0.351685;0.213062;-1.762655;-0.300568;0.425419;AGING
2026.08.01 18:57:00;ETHUSDm;1833.27;0.503425;0.846992;0.487065;0.913047;0.324609;0.986167;0.078428;0.535853;0.080000;0.355522;0.212534;-1.409937;-0.256550;0.436212;AGING
2026.08.01 18:58:00;ETHUSDm;1834.14;0.532004;0.475306;0.886068;0.884668;0.341921;0.971032;0.094457;0.537123;0.087379;0.386496;0.225505;-1.007219;-0.204780;0.448983;AGING
2026.08.01 18:59:00;ETHUSDm;1834.72;0.632191;0.316076;1.360211;0.849400;0.377627;0.951415;0.113441;0.543521;0.093756;0.444580;0.250688;-0.519243;-0.140909;0.464831;AGING
2026.08.01 19:00:00;ETHUSDm;1834.18;0.551717;0.293160;1.773999;0.814036;0.426931;0.932346;0.128458;0.554386;0.098902;0.524463;0.285214;-0.077696;-0.081696;0.479587;ORGANIZING
2026.08.01 19:01:00;ETHUSDm;1833.36;0.540911;0.441477;2.179682;0.786869;0.487959;0.919662;0.142320;0.569587;0.102707;0.620127;0.325572;0.354252;-0.022890;0.494278;ORGANIZING
2026.08.01 19:02:00;ETHUSDm;1836.11;0.601997;1.439941;2.631180;0.809764;0.560588;0.942853;0.157779;0.589532;0.105488;0.692286;0.360027;0.781895;0.034397;0.508598;MATURE
2026.08.01 19:03:00;ETHUSDm;1835.80;0.653722;0.162372;3.121471;0.766182;0.644570;0.921058;0.174404;0.614562;0.106404;0.841275;0.414475;1.315522;0.108274;0.527042;MATURE
2026.08.01 19:04:00;ETHUSDm;1836.78;0.497425;0.514490;2.871754;0.740706;0.716244;0.912932;0.178170;0.637228;0.105859;0.966975;0.460280;1.110636;0.088736;0.522169;MATURE
2026.08.01 19:05:00;ETHUSDm;1837.51;0.424609;0.384211;2.642013;0.708556;0.776975;0.900663;0.180748;0.657723;0.103982;1.096560;0.502237;0.929508;0.072117;0.518022;MATURE
2026.08.01 19:06:00;ETHUSDm;1834.27;0.421778;1.656611;2.430652;0.740420;0.827474;0.933448;0.182279;0.676220;0.101599;1.117574;0.517521;0.699110;0.044760;0.511188;MATURE
2026.08.01 19:07:00;ETHUSDm;1834.97;0.408580;0.361757;2.236200;0.704937;0.868854;0.919818;0.182888;0.692882;0.098200;1.232527;0.549662;0.550378;0.031292;0.507822;MATURE
2026.08.01 19:08:00;ETHUSDm;1836.54;0.403713;0.803233;2.057304;0.692475;0.901864;0.922139;0.182688;0.707857;0.094166;1.302378;0.569711;0.391438;0.014603;0.503651;MATURE
2026.08.01 19:09:00;ETHUSDm;1836.25;0.390163;0.149223;1.892720;0.647275;0.927410;0.901481;0.181783;0.721282;0.089304;1.432791;0.598198;0.277422;0.005785;0.501446;MATURE
2026.08.01 19:10:00;ETHUSDm;1836.29;0.393101;0.022063;1.741302;0.597466;0.946245;0.877064;0.180265;0.733283;0.083686;1.583763;0.626232;0.179300;-0.000437;0.499891;ORGANIZING
2026.08.01 19:11:00;ETHUSDm;1835.89;0.397327;0.230044;1.601998;0.560170;0.959010;0.860727;0.178217;0.743975;0.077547;1.711998;0.646947;0.078907;-0.007980;0.498005;ORGANIZING
2026.08.01 19:12:00;ETHUSDm;1836.41;0.399099;0.298199;1.473838;0.527891;0.966329;0.847276;0.175714;0.753465;0.071034;1.830544;0.663200;-0.017117;-0.015484;0.496129;ORGANIZING
2026.08.01 19:13:00;ETHUSDm;1837.21;0.403127;0.460246;1.355931;0.505183;0.968761;0.839880;0.172823;0.761851;0.064330;1.917645;0.672817;-0.114169;-0.024387;0.493903;ORGANIZING
2026.08.01 19:14:00;ETHUSDm;1835.30;0.410077;1.116437;1.247457;0.516370;0.966723;0.855608;0.169606;0.769222;0.057851;1.872152;0.664324;-0.237698;-0.041489;0.489629;ORGANIZING
2026.08.01 19:15:00;ETHUSDm;1834.96;0.441616;0.202598;1.147660;0.481347;0.960925;0.838689;0.166116;0.775663;0.051203;1.996324;0.675221;-0.307522;-0.045813;0.488549;ORGANIZING
2026.08.01 19:16:00;ETHUSDm;1835.31;0.476708;0.210564;1.055847;0.448589;0.951829;0.822519;0.162400;0.781248;0.044464;2.121826;0.683668;-0.372674;-0.049635;0.487594;ORGANIZING
2026.08.01 19:17:00;ETHUSDm;1836.99;0.468765;1.008767;0.971380;0.457562;0.939691;0.834722;0.158504;0.782185;0.038068;2.053692;0.672047;-0.465937;-0.063790;0.484058;ORGANIZING
2026.08.01 19:18:00;ETHUSDm;1838.28;0.451830;0.770886;0.893669;0.454434;0.924965;0.838035;0.154464;0.778350;0.031897;2.035423;0.666763;-0.533324;-0.072903;0.481782;ORGANIZING
2026.08.01 19:19:00;ETHUSDm;1836.79;0.551942;0.885429;1.307626;0.457484;0.928566;0.845100;0.167439;0.774984;0.025650;2.029721;0.663305;-0.131788;-0.022930;0.494268;ORGANIZING
2026.08.01 19:20:00;ETHUSDm;1835.91;0.564551;0.576671;1.731039;0.444872;0.948076;0.841565;0.180237;0.771539;0.018853;2.131117;0.678822;0.311837;0.036477;0.509118;MATURE
2026.08.01 19:21:00;ETHUSDm;1834.55;0.642058;0.983369;2.212583;0.452836;0.983555;0.852837;0.195303;0.768010;0.011390;2.171990;0.694528;0.805286;0.100319;0.525059;MATURE
2026.08.01 19:22:00;ETHUSDm;1833.99;0.503072;0.416791;2.589887;0.431362;1.000000;0.844411;0.204403;0.764583;0.003349;2.318236;0.714108;1.217203;0.157336;0.539253;MATURE
2026.08.01 19:23:00;ETHUSDm;1834.07;0.531173;0.059666;2.988266;0.392778;1.000000;0.824099;0.214102;0.762092;0.000000;2.545970;0.730475;1.643101;0.218290;0.554357;MATURE
2026.08.01 19:24:00;ETHUSDm;1834.66;0.490204;0.438988;2.749205;0.375088;1.000000;0.818114;0.215350;0.759507;0.000000;2.666040;0.740771;1.424403;0.195070;0.548613;MATURE
2026.08.01 19:25:00;ETHUSDm;1834.69;0.455153;0.022964;2.529269;0.337482;1.000000;0.797821;0.215579;0.756837;0.000000;2.963121;0.763418;1.246955;0.182934;0.545606;MATURE
2026.08.01 19:26:00;ETHUSDm;1835.12;0.690023;0.334110;3.046786;0.317313;1.000000;0.789136;0.230676;0.759214;0.000000;3.151459;0.764992;1.749692;0.251505;0.562547;MATURE
2026.08.01 19:27:00;ETHUSDm;1835.72;0.725564;0.474458;3.590959;0.305171;1.000000;0.786196;0.246351;0.768966;0.000000;3.276855;0.757296;2.255155;0.286170;0.571058;MATURE
2026.08.01 19:28:00;ETHUSDm;1835.64;0.657576;0.063371;4.084140;0.273081;1.000000;0.769519;0.258692;0.785389;0.000000;3.661922;0.759208;2.722897;0.297818;0.573909;MATURE
2026.08.01 19:29:00;ETHUSDm;1836.31;0.999233;0.536859;4.833565;0.266270;1.000000;0.770430;0.283229;0.810871;0.000000;3.755592;0.735095;3.379096;0.299422;0.574301;MATURE
2026.08.01 19:30:00;ETHUSDm;1837.67;0.512355;1.082630;5.217832;0.287088;1.000000;0.791270;0.288281;0.841582;0.000000;3.483257;0.705741;3.671019;0.289785;0.571943;MATURE
2026.08.01 19:31:00;ETHUSDm;1836.14;0.927100;1.198121;5.913157;0.312639;1.000000;0.815600;0.308633;0.880485;0.000000;3.198575;0.665886;4.222281;0.279252;0.569363;MATURE
2026.08.01 19:32:00;ETHUSDm;1835.59;0.599682;0.469524;6.362918;0.300483;1.000000;0.814290;0.315689;0.924974;0.000000;3.327970;0.648868;4.581108;0.282282;0.570106;MATURE
2026.08.01 19:33:00;ETHUSDm;1834.62;0.441213;0.820088;5.853885;0.306464;1.000000;0.825542;0.325357;0.965328;0.000000;3.263029;0.626116;3.966051;0.279197;0.569349;MATURE
2026.08.01 19:34:00;ETHUSDm;1835.09;0.954270;0.408625;6.569587;0.291572;1.000000;0.822337;0.344874;1.013723;0.000000;3.429688;0.605999;4.560822;0.283191;0.570328;MATURE
2026.08.01 19:35:00;ETHUSDm;1836.05;0.527792;0.876552;6.965431;0.300821;1.000000;0.836305;0.347422;1.066832;0.000000;3.324239;0.583065;4.836101;0.278880;0.569272;MATURE
2026.08.01 19:36:00;ETHUSDm;1835.91;0.649125;0.134460;7.452275;0.272503;1.000000;0.823900;0.354394;1.125462;0.000000;3.669688;0.570659;5.220061;0.288624;0.571659;MATURE
2026.08.01 19:37:00;ETHUSDm;1833.91;0.420951;1.862197;6.856093;0.331987;1.000000;0.872644;0.366483;1.178682;0.000000;3.012162;0.532722;4.433776;0.267001;0.566356;MATURE
2026.08.01 19:38:00;ETHUSDm;1833.76;0.403544;0.142261;6.307606;0.302501;1.000000;0.859908;0.375583;1.226928;0.000000;3.305773;0.524931;3.800082;0.275420;0.568423;MATURE
2026.08.01 19:39:00;ETHUSDm;1833.99;0.425439;0.235030;5.802997;0.279128;1.000000;0.851183;0.382034;1.265747;0.000000;3.582591;0.518966;3.228307;0.283426;0.570386;MATURE
2026.08.01 19:40:00;ETHUSDm;1833.86;0.453123;0.139785;5.338757;0.252160;1.000000;0.839655;0.386145;1.295496;0.000000;3.965729;0.517116;2.723316;0.294828;0.573178;MATURE
2026.08.01 19:41:00;ETHUSDm;1833.52;0.546440;0.371991;5.748588;0.238152;1.000000;0.836802;0.387329;1.324378;0.000000;4.198999;0.512858;3.087021;0.301613;0.574837;MATURE
2026.08.01 19:42:00;ETHUSDm;1833.80;0.961765;0.311665;6.469912;0.221828;1.000000;0.831978;0.404029;1.356557;0.000000;4.508004;0.504436;3.726914;0.310462;0.576998;MATURE
2026.08.01 19:43:00;ETHUSDm;1833.78;0.859109;0.023148;7.114243;0.191894;1.000000;0.817810;0.416044;1.391034;0.000000;5.211219;0.500257;4.308195;0.331349;0.582088;MATURE
2026.08.01 19:44:00;ETHUSDm;1833.77;0.540085;0.011674;7.519307;0.162883;1.000000;0.804157;0.415495;1.431779;0.000000;6.139388;0.497474;4.661876;0.359055;0.588812;MATURE
2026.08.01 19:45:00;ETHUSDm;1834.90;0.932337;1.370361;8.218560;0.203257;1.000000;0.838517;0.429683;1.481513;0.000000;4.919889;0.472936;5.192911;0.321243;0.579627;MATURE
2026.08.01 19:46:00;ETHUSDm;1835.49;0.771980;0.739719;8.797545;0.210080;1.000000;0.850098;0.437148;1.531613;0.000000;4.760097;0.458960;5.649943;0.315751;0.578288;MATURE
2026.08.01 19:47:00;ETHUSDm;1835.12;0.633910;0.477913;9.272978;0.203471;1.000000;0.852371;0.439062;1.580776;0.000000;4.914696;0.449780;6.029831;0.319930;0.579307;MATURE
2026.08.01 19:48:00;ETHUSDm;1834.92;0.584680;0.262881;9.711488;0.186442;1.000000;0.847106;0.439035;1.629145;0.000000;5.363602;0.443533;6.388687;0.333085;0.582510;MATURE
2026.08.01 19:49:00;ETHUSDm;1835.90;0.738626;1.274714;10.265457;0.220855;1.000000;0.877439;0.444781;1.675318;0.000000;4.527848;0.427176;6.804402;0.307194;0.576200;MATURE
2026.08.01 19:50:00;ETHUSDm;1837.04;0.607830;1.460041;10.721329;0.262815;1.000000;0.913397;0.445336;1.721977;0.000000;3.804961;0.411501;7.123889;0.284724;0.570704;MATURE
2026.08.01 19:51:00;ETHUSDm;1835.98;0.965994;1.349287;11.445825;0.297138;1.000000;0.944240;0.459294;1.768693;0.000658;3.365435;0.396020;7.692053;0.270751;0.567277;MATURE
2026.08.01 19:52:00;ETHUSDm;1835.11;0.664967;1.163102;11.944550;0.320437;1.000000;0.967976;0.461265;1.815666;0.002019;3.120743;0.385005;8.068231;0.262832;0.565332;MATURE
2026.08.01 19:53:00;ETHUSDm;1835.18;0.625226;0.094187;12.413470;0.289124;1.000000;0.953537;0.461648;1.872184;0.003632;3.458723;0.381249;8.453050;0.272751;0.567768;MATURE
2026.08.01 19:54:00;ETHUSDm;1835.44;0.754037;0.356751;12.978998;0.272505;1.000000;0.948807;0.466842;1.926917;0.005627;3.669652;0.375057;8.913348;0.278730;0.569235;MATURE
2026.08.01 19:55:00;ETHUSDm;1835.26;0.537914;0.250766;13.382434;0.251418;1.000000;0.940715;0.463672;1.981452;0.007955;3.977433;0.370845;9.232811;0.287706;0.571434;MATURE
2026.08.01 19:56:00;ETHUSDm;1835.68;0.877840;0.635017;14.040814;0.250598;1.000000;0.946245;0.473407;2.037431;0.010836;3.990449;0.362130;9.757704;0.287603;0.571409;MATURE
2026.08.01 19:57:00;ETHUSDm;1835.84;0.408611;0.245927;12.917549;0.230365;1.000000;0.938303;0.505900;2.087858;0.014018;4.340941;0.354092;8.485650;0.297652;0.573869;MATURE
2026.08.01 19:58:00;ETHUSDm;1835.46;0.415382;0.606254;11.884145;0.229159;1.000000;0.944387;0.532275;2.133184;0.017641;4.363778;0.345469;7.306425;0.297834;0.573913;MATURE
2026.08.01 19:59:00;ETHUSDm;1835.18;0.447719;0.446856;10.933413;0.220044;1.000000;0.945603;0.553198;2.173822;0.021580;4.544544;0.339321;6.237748;0.302871;0.575144;MATURE
2026.08.01 20:00:00;ETHUSDm;1833.69;0.935031;2.272727;11.634686;0.302678;1.000000;1.000000;0.560602;2.225913;0.026866;3.303838;0.323709;6.732113;0.264763;0.565807;MATURE
2026.08.01 20:01:00;ETHUSDm;1833.99;0.637536;0.458996;12.112838;0.290494;1.000000;1.000000;0.556479;2.278425;0.032555;3.442410;0.319959;7.119979;0.268619;0.566754;MATURE
2026.08.01 20:02:00;ETHUSDm;1835.64;0.410129;2.440106;11.143811;0.377975;1.000000;1.000000;0.577107;2.313772;0.039473;2.645679;0.305918;5.944606;0.243877;0.560669;MATURE
2026.08.01 20:03:00;ETHUSDm;1836.47;0.385759;1.226359;10.252306;0.400394;1.000000;1.000000;0.592827;2.333584;0.046812;2.497540;0.300589;4.952278;0.239019;0.559472;MATURE
2026.08.01 20:04:00;ETHUSDm;1835.40;0.421442;1.621212;9.432122;0.441435;1.000000;1.000000;0.604195;2.341044;0.054637;2.265340;0.295275;4.045572;0.231631;0.557650;MATURE
2026.08.01 20:05:00;ETHUSDm;1835.68;0.518779;0.425015;9.821206;0.420614;1.000000;1.000000;0.593439;2.345366;0.062297;2.377477;0.297671;4.460686;0.234962;0.558472;MATURE
2026.08.01 20:06:00;ETHUSDm;1836.38;0.495231;1.051367;9.035510;0.432152;1.000000;1.000000;0.603052;2.336018;0.069979;2.314003;0.296628;3.655239;0.232852;0.557951;MATURE
2026.08.01 20:07:00;ETHUSDm;1836.05;0.483836;0.516594;8.312669;0.416374;1.000000;1.000000;0.609041;2.333941;0.077482;2.401689;0.297676;2.932848;0.235385;0.558576;MATURE
2026.08.01 20:08:00;ETHUSDm;1835.03;0.987170;1.610357;9.053047;0.456073;1.000000;1.000000;0.615608;2.328856;0.085331;2.192632;0.294071;3.622714;0.228776;0.556946;MATURE
2026.08.01 20:09:00;ETHUSDm;1834.76;0.450917;0.443350;8.328803;0.435437;1.000000;1.000000;0.621040;2.336578;0.093051;2.296545;0.294720;2.885079;0.231771;0.557685;MATURE
2026.08.01 20:10:00;ETHUSDm;1835.77;0.434308;1.651406;7.662499;0.476235;1.000000;1.000000;0.623303;2.355484;0.101368;2.099803;0.289434;2.127321;0.225438;0.556122;MATURE
2026.08.01 20:11:00;ETHUSDm;1834.84;0.444513;1.542289;7.049499;0.509538;1.000000;1.000000;0.622788;2.387670;0.110340;1.962563;0.284091;1.408705;0.146963;0.536675;MATURE
